,prior,eos,kr,sch
859,96,0,1,2027.01.01
860,96,0,1,2027.04.01
861,96,0,1,2027.07.01
862,96,0,1,2027.10.01
863,96,0,1,2028.01.01
864,97,0,1,2026.01.01
865,97,0,1,2026.04.01
866,97,0,1,2026.07.01
867,97,0,1,2026.10.01
868,97,0,1,2027.01.01
869,97,0,1,2027.04.01
870,97,0,1,2027.07.01
871,97,0,1,2027.10.01
872,97,0,1,2028.01.01
873,98,0,1,2026.01.01
874,98,0,1,2026.04.01
875,98,0,1,2026.07.01
876,98,0,1,2026.10.01
877,98,0,1,2027.01.01
878,98,0,1,2027.04.01
879,98,0,1,2027.07.01
880,98,0,1,2027.10.01
881,98,0,1,2028.01.01
882,99,0,1,2026.01.01
883,99,0,1,2026.04.01
884,99,0,1,2026.07.01
885,99,0,1,2026.10.01
886,99,0,1,2027.01.01
887,99,0,1,2027.04.01
888,99,0,1,2027.07.01
889,99,0,1,2027.10.01
890,99,0,1,2028.01.01
891,100,0,1,2026.01.01
892,100,0,1,2026.04.01
893,100,0,1,2026.07.01
894,100,0,1,2026.10.01
895,100,0,1,2027.01.01
896,100,0,1,2027.04.01
897,100,0,1,2027.07.01
898,100,0,1,2027.10.01
899,100,0,1,2028.01.01
