index,prior,eos,kr,gormax
888,81,0,1,1800
889,81,0,1,1900
890,81,0,1,2000
891,82,0,1,1000
892,82,0,1,1100
893,82,0,1,1200
894,82,0,1,1300
895,82,0,1,1400
896,82,0,1,1500
897,82,0,1,1600
898,82,0,1,1700
899,82,0,1,1800
900,82,0,1,1900
901,82,0,1,2000
902,83,0,1,1000
903,83,0,1,1100
904,83,0,1,1200
905,83,0,1,1300
906,83,0,1,1400
907,83,0,1,1500
908,83,0,1,1600
909,83,0,1,1700
910,83,0,1,1800
911,83,0,1,1900
912,83,0,1,2000
913,84,0,1,1000
914,84,0,1,1100
915,84,0,1,1200
916,84,0,1,1300
917,84,0,1,1400
918,84,0,1,1500
919,84,0,1,1600
920,84,0,1,1700
921,84,0,1,1800
922,84,0,1,1900
923,84,0,1,2000
924,85,0,1,1000
925,85,0,1,1100
926,85,0,1,1200
927,85,0,1,1300
928,85,0,1,1400
929,85,0,1,1500
930,85,0,1,1600
931,85,0,1,1700
932,85,0,1,1800
933,85,0,1,1900
934,85,0,1,2000
935,86,0,1,1000
936,86,0,1,1100
937,86,0,1,1200
938,86,0,1,1300
939,86,0,1,1400
940,86,0,1,1500
941,86,0,1,1600
942,86,0,1,1700
943,86,0,1,1800
944,86,0,1,1900
945,86,0,1,2000
946,87,0,1,1000
947,87,0,1,1100
948,87,0,1,1200
949,87,0,1,1300
950,87,0,1,1400
951,87,0,1,1500
952,87,0,1,1600
953,87,0,1,1700
954,87,0,1,1800
955,87,0,1,1900
956,87,0,1,2000
957,88,0,1,1000
958,88,0,1,1100
959,88,0,1,1200
960,88,0,1,1300
961,88,0,1,1400
962,88,0,1,1500
963,88,0,1,1600
964,88,0,1,1700
965,88,0,1,1800
966,88,0,1,1900
967,88,0,1,2000
968,89,0,1,1000
969,89,0,1,1100
970,89,0,1,1200
971,89,0,1,1300
972,89,0,1,1400
973,89,0,1,1500
974,89,0,1,1600
975,89,0,1,1700
976,89,0,1,1800
977,89,0,1,1900
978,89,0,1,2000
979,90,0,1,1000
980,90,0,1,1100
981,90,0,1,1200
982,90,0,1,1300
983,90,0,1,1400
984,90,0,1,1500
985,90,0,1,1600
986,90,0,1,1700
987,90,0,1,1800
988,90,0,1,1900
989,90,0,1,2000
990,91,0,1,1000
991,91,0,1,1100
